config,m,n,seed,algo,K_mult,cmax,lb,gap_pct,time_ms,assign_sha16
eval-m2-n100,2,100,3005,lpt_ls,,2607,2607,0.000000,0.073,455270d0dea0e864
eval-m2-n100,2,100,3005,rol,4,2607,2607,0.000000,0.191,455270d0dea0e864
eval-m2-n100,2,100,3006,lpt,,2568,2568,0.000000,0.036,326a8563de9aa5f1
eval-m2-n100,2,100,3006,multifit,,2568,2568,0.000000,0.168,18e689ee50785303
eval-m2-n100,2,100,3006,lpt_ls,,2568,2568,0.000000,0.091,326a8563de9aa5f1
eval-m2-n100,2,100,3006,rol,4,2568,2568,0.000000,0.209,326a8563de9aa5f1
eval-m2-n100,2,100,3007,lpt,,2156,2156,0.000000,0.037,ba5d4edc62ce77ea
eval-m2-n100,2,100,3007,multifit,,2156,2156,0.000000,0.172,097298cae54beea3
eval-m2-n100,2,100,3007,lpt_ls,,2156,2156,0.000000,0.097,ba5d4edc62ce77ea
eval-m2-n100,2,100,3007,rol,4,2156,2156,0.000000,0.203,ba5d4edc62ce77ea
eval-m2-n100,2,100,3008,lpt,,2496,2496,0.000000,0.037,8131c8aabfb833e2
eval-m2-n100,2,100,3008,multifit,,2496,2496,0.000000,0.174,f23894d9bbcb3851
eval-m2-n100,2,100,3008,lpt_ls,,2496,2496,0.000000,0.074,8131c8aabfb833e2
eval-m2-n100,2,100,3008,rol,4,2496,2496,0.000000,0.222,8131c8aabfb833e2
eval-m2-n100,2,100,3009,lpt,,2598,2598,0.000000,0.038,3c195befeb96c4fb
eval-m2-n100,2,100,3009,multifit,,2598,2598,0.000000,0.170,d33f4ad51f558ddf
eval-m2-n100,2,100,3009,lpt_ls,,2598,2598,0.000000,0.080,3c195befeb96c4fb
eval-m2-n100,2,100,3009,rol,4,2598,2598,0.000000,0.201,3c195befeb96c4fb
eval-m2-n100,2,100,3010,lpt,,2764,2763,0.036193,0.036,c158ad5472371965
eval-m2-n100,2,100,3010,multifit,,2763,2763,0.000000,0.176,7e06b3eda3f58a32
eval-m2-n100,2,100,3010,lpt_ls,,2763,2763,0.000000,0.135,19722c9ea4a4bb1f
eval-m2-n100,2,100,3010,rol,4,2764,2763,0.036193,0.218,c158ad5472371965
eval-m2-n100,2,100,3011,lpt,,2412,2411,0.041477,0.036,e06b6da1b50a98b3
eval-m2-n100,2,100,3011,multifit,,2411,2411,0.000000,0.167,fdc43899e95c3558
eval-m2-n100,2,100,3011,lpt_ls,,2411,2411,0.000000,0.121,a458b950838854c0
eval-m2-n100,2,100,3011,rol,4,2412,2411,0.041477,0.237,e06b6da1b50a98b3
